ID,RANK,GRADES,MATH,CZECH,VR,SUM
819430,62,"12,0",39,38,29,"118,0"
819431,379,"12,0",16,9,26,"63,0"
819432,374,"7,6",9,21,27,"64,6"
819433,190,"9,8",20,36,31,"96,8"
819434,101,"12,0",31,39,28,"110,0"
819435,333,"10,6",16,21,26,"73,6"
819436,349,"10,6",20,19,21,"70,6"
819437,154,"10,6",38,23,30,"101,6"
819438,241,"12,0",25,23,27,"87,0"
819439,73,"12,0",33,37,33,"115,0"
819440,226,"11,2",27,23,28,"89,2"
819441,243,"10,6",28,22,26,"86,6"
819442,302,"11,4",20,23,24,"78,4"
819443,118,"11,4",30,33,33,"107,4"
V-vyloučení od zkoušky,,,,,,
V Praze dne 29.04.2019,,,,,,
,,,,RNDr. Vilém,"B a u e r, v.r.",
,,,,ředitel gymnázia,,
,-,9,-,,,
